Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
ACSF1,Device (Energy Consumption),1 (Univariate),1460,10 seconds (0.1 Hz),"Appliance Consumption Signature Database (ACS-F1), timeseriesclassification.com",https://timeseriesclassification.com/description.php?Dataset=ACSF1,"This dataset contains 200 instances (100 train, 100 test) of power consumption readings from 10 categories of home appliances, each with 1460 data points sampled at 10-second intervals.  The data is characterized by long idle periods and high-energy bursts when the appliance is active.  The classification task is to identify the appliance based on its power usage signature over time. Appliances include mobile phones (via chargers), coffee machines, computer stations (including monitor), fridges and freezers, Hi-Fi systems (CD players), lamps (CFL), laptops (via chargers), microwave ovens, printers, and televisions (LCD or LED). Donated by P. Schafer.  Data created by Gisler, Christophe, et al. and edited by Patrick Schafer and Ulf Leser.",Donated by P. Schafer. A 10-class problem with 100 training and 100 testing instances.,2,7,22,Reconciled on 2025-08-04 15:14:55,,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Adiac,Image,1,176,Not specified,"timeseriesclassification.com, cs.ucr.edu",Adiac Description,The task is to identify the species of diatoms based on the contour of the organism. The data was generated automatically from images. The dataset is named for the Automatic Diatom Identification and Classification project.,"Donated by A. Jalba. This is a 37-class problem with 390 training and 391 testing instances, making it one of the datasets with a higher number of classes in the archive.",3,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:15:33,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Air Quality UC Irvine Repository (UCI),Air Quality,15,9358,Hourly,UCI Machine Learning Repository,DOI: 10.24432/C59K5F,"Contains hourly averaged responses from metal oxide chemical sensors embedded in an Air Quality Chemical Multisensor Device in a polluted area, recorded from March 2004 to February 2005.",Not explicitly stated in the original paper.,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirPassengersDataset,Transportation,Univariate: Number of international airline passengers,144,Monthly,Time Series Data Library (TSDL),"Originally from Box, G. E. P., Jenkins, G. M., & Reinsel, G. C. (1970). Time series analysis: Forecasting and control. San Francisco: Holden-Day. The ultimate source is often cited as the International Civil Aviation Organization (ICAO).","Monthly totals of international airline passengers, spanning from January 1949 to December 1960.  This classic Box-Jenkins dataset is a staple in time series analysis, frequently used to demonstrate models due to its clear trend and seasonality.","Source 'Kaggle' and 'Kaggle (Air Passengers)' incorrectly describe the dataset as US airline passenger totals. Source 'NeuralForecast' uses a shortened name 'AirPassengers'. Source 'Darts' adds ""It is one of the most famous time series datasets in existence.""",5,2,22,Reconciled on 2025-08-04 15:15:47,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirQuality,"Environmental Science, Air Quality Monitoring","15 (including date/time, 5 ground truth gas concentrations, and sensor responses)",9358,1 Hour,UCI Machine Learning Repository,UCI Air Quality Data,"Contains hourly averaged responses from an array of 5 metal oxide chemical sensors deployed in a polluted area of an Italian city from March 2004 to February 2005. Includes ground truth concentrations for CO, Non-Metanic Hydrocarbons, Benzene, NOx, and NO2.","The dataset is known to contain missing values, which are tagged with a -200 value. It presents challenges like sensor drift and cross-sensitivities, making it a robust test case for models that can handle real-world sensor imperfections. Licensed under CC BY 4.0.",6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Alibaba-Cluster-Trace-2018,Cloud Computing,"~4,000 machines","~23,040 (for 8 days)",Varies (event-based and time-based),Alibaba Group,https://github.com/alibaba/clusterdata,"A trace from an Alibaba production cluster collected over 8 days, containing information on co-located batch jobs and online services. Notably includes DAG (Directed Acyclic Graph) dependency information for batch workloads.",Offers insights into managing mixed workloads and complex job dependencies in a production environment.,7,3,22,Split into 2 records on 2025-08-04 15:16:25,"Multiple Datasets

The evidence suggests the existence of two distinct datasets mistakenly sharing a similar name.  While both relate to Alibaba's cluster data, key differences in scale and described content point to separate entities. The 'TSFM-Core' source describes data with a much larger number of data points (540,000,000) than the 'LOTSA' source (~23,040 over 8 days). Additionally, 'LOTSA' emphasizes the inclusion of DAG dependency information for batch workloads which is not mentioned in the 'TSFM-Core' source.",,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,
alibaba_cluster_trace_2018,Cloud,Multiple,"540,000,000",Varies,Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,"Cluster trace data from Alibaba's production data centers, capturing machine usage, job submissions, and task events.",Provides insight into the operational dynamics of large-scale commercial cloud infrastructure.,7,1,22,Split into 2 records on 2025-08-04 15:16:25,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllGestureWiimoteX,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteX Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's X-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,8,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:16:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
AllGestureWiimoteY,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteY Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's Y-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,9,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:16:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
AllGestureWiimoteZ,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteZ Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's Z-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,10,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:16:59,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
